,Year,Country,Activity,Age,Species ,Sex,Species
697,2013,AUSTRALIA,Spearfishing,28,"Bronze whaler shark, 2.5m",M,"Bronze whaler shark, 2.5m"
700,2013,NEW ZEALAND,Swimming,46,"White shark, 4m",M,"White shark, 4m"
703,2013,USA,Surfing,16,"Blacktip shark, 4' to 5'",M,"Blacktip shark, 4' to 5'"
704,2013,FRENCH POLYNESIA,Scuba diving,48,Lemon shark,M,Lemon shark
709,2013,USA,Surfing,43,"Tiger shark, 15'",M,"Tiger shark, 15'"
713,2012,AUSTRALIA,Surfing,23,2.5 m shark,M,2.5 m shark
714,2012,AUSTRALIA,Paddle boarding,29,"Bull shark, 2m ",M,"Bull shark, 2m "
715,2012,SOUTH AFRICA,Swimming,20,Tiger shark,M,Tiger shark
716,2012,AUSTRALIA,Surfing,32,"Tiger shark, 6'",M,"Tiger shark, 6'"
717,2012,USA,Surfing,60,10' shark,M,10' shark
718,2012,AUSTRALIA,Spearfishing,31,Sandtiger shark,M,Sandtiger shark
719,2012,NEW ZEALAND,Scuba diving,25,Seven-gill shark,F,Seven-gill shark
720,2012,USA,Snorkeling,61,"Tiger shark, 10'",M,"Tiger shark, 10'"
722,2012,MEXICO,Swimming,32,2.5 m shark,M,2.5 m shark
723,2012,USA,Surfing,14,2' to 3' shark,M,2' to 3' shark
724,2012,USA,Diving,30,"Tiger shark, 15'",M,"Tiger shark, 15'"
725,2012,USA,Surfing,43,"Tiger shark, 8'",M,"Tiger shark, 8'"
726,2012,USA,Surfing,25,White shark,M,White shark
727,2012,USA,Swimming,51,"Tiger shark, 10' to 12' ",F,"Tiger shark, 10' to 12' "
